1	<html>@1<br> -Một</html>
hổ mang	<html>@hổ mang<br>-@hổ mang<br>- xem rắn hổ mang</html>
hổ phách	<html>@hổ phách<br>-@hổ phách<br>* noun<br>- amber</html>
hổ phù	<html>@hổ phù<br>-@hổ phù<br>- Ancient military officers' tigerhead-shaped seal (insigniạ..)<br>-Tiger-faced design<br>=áo thêu hổ phù+A robe embroidered with a tiger-faced design.<br>-(b) (thông tục) Face bloated with anger</html>
hổ thân	<html>@hổ thân<br>-@hổ thân<br>- Be ashamed of one's condition</html>
hổ thẹn	<html>@hổ thẹn<br>-@hổ thẹn<br>* adj<br>- shameful; ashamed<br>=điều hổ thẹn+shame</html>
hổ trướng	<html>@hổ trướng<br>-@hổ trướng<br>- (từ cũ; nghĩa cũ) Army commander's headquarters</html>
hổ tương	<html>@hổ tương<br>-@hổ tương<br>- Reciprocal, mutual, interacting<br>=Tác động hỗ tương+Reciprocal action, interaction</html>
hổ tướng	<html>@hổ tướng<br>-@hổ tướng<br>- Brave and strong general</html>
hổi	<html>@hổi<br>-@hổi<br>- Steaming [hot]<br>=Bát phổ còn nóng hổi+A steaming hot bowl of noodle soup<br>-Hôi hổi (láy)<br>=Còn nóng hôi hổi+To be still steaming hot</html>
hổn hển	<html>@hổn hển<br>-@hổn hển<br>- Panting<br>=Chạy một lúc thở hổn hển+To be panting after running a long distance<br>=Hổn ha hổn hển (láy, ý tăng)</html>
hổng	<html>@hổng<br>-@hổng<br>- Having gaps, gaping, hollow<br>=Lỗ hổng+A gap<br>=Kiến thức có nhiều lổ hổng+Knowledge with many gaps in it</html>
hổng hểnh	<html>@hổng hểnh<br>-@hổng hểnh<br>- Full of gaps, widely gaping, exposed<br>=Cái phên cửa này hổng hểnh quá+This bamboo-plaited door has too many gaps in it<br>=Phòng này hổng hểnh quá+This room is exposed</html>
hổng trôn	<html>@hổng trôn<br>-@hổng trôn<br>- Bottomless<br>=Cái chỗ hổng trôn, không hông xôi được nữa+this bottomless steamer can no longer be used for steaming glutious rice</html>
hỗ trợ	<html>@hỗ trợ<br>-@hỗ trợ<br>* verb<br>- to help one another</html>
hỗn	<html>@hỗn<br>-@hỗn<br>- Impertinent, saucy, impudent<br>=Thằng bé hổn với người trên+An impertinent boy toward his superiors</html>
hỗn chiến	<html>@hỗn chiến<br>-@hỗn chiến<br>- Engage in a battle royal, engage in a dog-fight</html>
hỗn hào	<html>@hỗn hào<br>-@hỗn hào<br>- Impertinent, saucy impudent, cheeky<br>=Đừng có hỗ hào thế!+None of that cheek of yours!</html>
hỗn hống	<html>@hỗn hống<br>-@hỗn hống<br>- (hóa) Amalgam</html>
hỗn hợp	<html>@hỗn hợp<br>-@hỗn hợp<br>- Mix<br>=Dầu và nước không hỗn lại được với nhau+Oil and water do not mix<br>=ủy ban hỗn hợp+A mixed committee, a joint commission<br>=Trận đánh đôi hỗn hợp+Mixed doubles</html>
hỗn loạn	<html>@hỗn loạn<br>-@hỗn loạn<br>- Troublous, chaotic<br>=Thời buổi hỗn loạn+Troubles times</html>
hỗn láo	<html>@hỗn láo<br>-@hỗn láo<br>* adj<br>- insolent; impertinent</html>
hỗn mang	<html>@hỗn mang<br>-@hỗn mang<br>- Misty (times of the beginnings of man's history)<br>=Trong thời kỳ hỗn mang của nhân loại+In the mists of time of human history</html>
hỗn nguyên	<html>@hỗn nguyên<br>-@hỗn nguyên<br>- Chaotic.<br>-(Thời đại hỗn nguyên) Chaos</html>
hỗn quân hỗn quan	<html>@hỗn quân hỗn quan<br>-@hỗn quân hỗn quan<br>- All jumbled up, all of a jumble</html>
hỗn thực	<html>@hỗn thực<br>-@hỗn thực<br>- (sinh học) Omnivorous</html>
hỗn tạp	<html>@hỗn tạp<br>-@hỗn tạp<br>- Mishmash-like, hodge-podge-like, jumbled up<br>=Một mớ hỗn tạp+A mish-mash, a hodge-podge (of many thing...)</html>
hỗn xược	<html>@hỗn xược<br>-@hỗn xược<br>- Arrogant, overbearing, insolent</html>
hỗn độn	<html>@hỗn độn<br>-@hỗn độn<br>* adj<br>- chaotic; confused</html>
hộ	<html>@hộ<br>-@hộ<br>* trạng ngữ for</html>
hộ bộ	<html>@hộ bộ<br>-@hộ bộ<br>- (từ cũ; nghĩa cũ) Ministry of Finance</html>
hộ chiếu	<html>@hộ chiếu<br>-@hộ chiếu<br>* noun<br>- passport</html>
hộ giá	<html>@hộ giá<br>-@hộ giá<br>- (từ cũ; nghĩa cũ) Be a member of the royal retinue, be a royal escort, be a royal bodyguard</html>
hộ khẩu	<html>@hộ khẩu<br>-@hộ khẩu<br>* noun<br>- population; number of inhabitants</html>
hộ lý	<html>@hộ lý<br>-@hộ lý<br>* noun<br>-nurse's aid</html>
hộ lại	<html>@hộ lại<br>-@hộ lại<br>- (từ cũ; nghĩa cũ) Village registrar (keeping records of births, deaths and marriages)</html>
hộ mạng	<html>@hộ mạng<br>-@hộ mạng<br>- (tiếng địa phương) như hộ mệnh</html>
hộ mệnh	<html>@hộ mệnh<br>-@hộ mệnh<br>- Tutelary<br>=Thần hộ mệnh+Tutelary genius</html>
hộ pháp	<html>@hộ pháp<br>-@hộ pháp<br>- Names of the two colossal statues guarding the main gate of a pagoda<br>-Highest Caodai dignitary<br>-Giant, colossus<br>=Người trông như ông hộ pháp+To look a colossus</html>
hộ sinh	<html>@hộ sinh<br>-@hộ sinh<br>- Midwife</html>
hộ sĩ	<html>@hộ sĩ<br>-@hộ sĩ<br>- (từ cũ; nghĩa cũ) Nurse</html>
hộ sản	<html>@hộ sản<br>-@hộ sản<br>- (từ cũ; nghĩa cũ) như hộ sinh</html>
hộ tang	<html>@hộ tang<br>-@hộ tang<br>- See to a burial</html>
hộ thân	<html>@hộ thân<br>-@hộ thân<br>* noun<br>- seft-protection</html>
hộ tịch	<html>@hộ tịch<br>-@hộ tịch<br>* noun<br>- civil status</html>
hộ tống	<html>@hộ tống<br>-@hộ tống<br>* verb<br>- to escort</html>
hộ vệ	<html>@hộ vệ<br>-@hộ vệ<br>* verb<br>- to guard</html>
hộ đê	<html>@hộ đê<br>-@hộ đê<br>- Maintain the dykes<br>=Công tác hộ đê+The work of maintenance of dykes</html>
hộc	<html>@hộc<br>-@hộc<br>* noun<br>- unit of dry measure<br>* verb<br>- to vomit<br>=hộc máu+to vomit blood</html>
hộc hà hộc hệch	<html>@hộc hà hộc hệch<br>-@hộc hà hộc hệch<br>- xem hộc hệch (láy)</html>
hộc hệch	<html>@hộc hệch<br>-@hộc hệch<br>- Broad-minded, easy-going<br>=Tính hộc hệch chẳng giận ai bao giờ+to be easy-going and never get cross with anyone<br>=Hộc hà hộc hệch (láy, ý tăng)</html>
hộc máu	<html>@hộc máu<br>-@hộc máu<br>- Vomit blood<br>-Sweat blood<br>=Làm hộc máu mà không đủ ăn+To sweat blood without being able to keep body and soul together</html>
hộc tốc	<html>@hộc tốc<br>-@hộc tốc<br>- Breathless<br>=Chạy hộc tốc về nhà+To run home in a breathless hurry<br>=Làm hộc để kịp giao hàng+To work breathlessly in order to deliver the goods on time</html>
hội	<html>@hội<br>-@hội<br>* noun<br>- club; company; association<br>=hội phước thiện+Charitable society Team<br>* verb<br>- to meet; to reunite; to assemble</html>
hội chẩn	<html>@hội chẩn<br>-@hội chẩn<br>* verb<br>- (bác sĩ) to hold a consultation</html>
hội chợ	<html>@hội chợ<br>-@hội chợ<br>* noun<br>- fair</html>
hội chứng	<html>@hội chứng<br>-@hội chứng<br>* noun<br>- syndrome</html>
hội diễn	<html>@hội diễn<br>-@hội diễn<br>- Round of performances (by dannce and song ensembles...)<br>=Hội diễn mùa xuân+Spring [round of] performances</html>
hội diện	<html>@hội diện<br>-@hội diện<br>- Meet face to face</html>
hội giảng	<html>@hội giảng<br>-@hội giảng<br>- Teaching festival</html>
hội hè	<html>@hội hè<br>-@hội hè<br>- Festival, gauds</html>
hội họa	<html>@hội họa<br>-@hội họa<br>- Painting</html>
hội họp	<html>@hội họp<br>-@hội họp<br>- Meet, gather</html>
hội kiến	<html>@hội kiến<br>-@hội kiến<br>- Meet for a talk, meet for an exchange of views</html>
hội kín	<html>@hội kín<br>-@hội kín<br>- Underground society</html>
hội nghị	<html>@hội nghị<br>-@hội nghị<br>* noun<br>- conference; congress; meeting</html>
hội nguyên	<html>@hội nguyên<br>-@hội nguyên<br>- (từ cũ; nghĩa cũ) First laureate at pre-Court Copetition examination</html>
hội ngộ	<html>@hội ngộ<br>-@hội ngộ<br>* verb<br>- to meet<br>=cuộc hội ngộ+meeting</html>
hội quán	<html>@hội quán<br>-@hội quán<br>-(từ cũ; nghĩa cũ) Society's premises</html>
hội sinh	<html>@hội sinh<br>-@hội sinh<br>- (sinh học) Commensalism</html>
hội thi	<html>@hội thi<br>-@hội thi<br>- Festival of competition</html>
hội thiện	<html>@hội thiện<br>-@hội thiện<br>- (từ cũ; nghĩa cũ) Charity</html>
hội thoại	<html>@hội thoại<br>-@hội thoại<br>- talk, converse</html>
hội thí	<html>@hội thí<br>-@hội thí<br>- (từ cũ; nghĩa cũ) như thi hội</html>
hội thảo	<html>@hội thảo<br>-@hội thảo<br>- Hold a workshop</html>
hội thẩm	<html>@hội thẩm<br>-@hội thẩm<br>- People's juror</html>
hội tụ	<html>@hội tụ<br>-@hội tụ<br>- (ly') Converge<br>=Thấu kính hội tụ+Converging lens</html>
hội viên	<html>@hội viên<br>-@hội viên<br>* noun<br>- associate; member<br>=hội viên danh dự+honorary member</html>
hội ý	<html>@hội ý<br>-@hội ý<br>- meet and compare notes, have exchange of ideas</html>
hội đàm	<html>@hội đàm<br>-@hội đàm<br>- Consult together, meet for a talk<br>=Hai lãnh tụ đã hội đàm với nhau+The two leaders met for a talk</html>
hội đồng	<html>@hội đồng<br>-@hội đồng<br>* noun<br>- council; assembly; meeting</html>
hội ẩm	<html>@hội ẩm<br>-@hội ẩm<br>- drink together</html>
hộn	<html>@hộn<br>-@hộn<br>- Add up, balance<br>=Hộn tất cả tiền trong nhà lại+To add up all the money in the household<br>=Hộn sổ+to do one's accounts<br>-Mix up<br>=Hộn hai thứ gạo làm một to mix up the two kinds of rice into one</html>
hộp	<html>@hộp<br>-@hộp<br>* noun<br>- box; can; tin<br>=đồ hộp+canned food</html>
hộp sọ	<html>@hộp sọ<br>-@hộp sọ<br>- Cranium, skull</html>
hộp số	<html>@hộp số<br>-@hộp số<br>- (cơ học; cơ khi') Gear-box</html>
hộp thư	<html>@hộp thư<br>-@hộp thư<br>* noun<br>- post-office box</html>
hộp đêm	<html>@hộp đêm<br>-@hộp đêm<br>- Night-club, cabaret</html>
hột	<html>@hột<br>-@hột<br>* noun<br>- seed<br>=hột xoàn+diamond</html>
hột cơm	<html>@hột cơm<br>-@hột cơm<br>- Wart<br>=Có mấy cái hột cơm ở tay+To have a few warts on the hand</html>
hột xoài	<html>@hột xoài<br>-@hột xoài<br>- Chance (kind of venereal disease)</html>
hột xoàn	<html>@hột xoàn<br>-@hột xoàn<br>- (tiếng địa phương) Diamond<br>=Cửa hàng hột xoàn+A diamond dealer's shop</html>
hớ	<html>@hớ<br>-@hớ<br>* verb<br>- to blunder<br>=mua hớ+to buy at an unfair price</html>
hớn hở	<html>@hớn hở<br>-@hớn hở<br>* adj<br>- merry; gay; radiant</html>
hớp	<html>@hớp<br>-@hớp<br>* verb<br>- to sip<br>=một hớp+a sip</html>
hớt	<html>@hớt<br>-@hớt<br>* verb<br>- to cut; to clip; to crop; to shear<br>=hớt tóc+to cut the hair to skim; to remove</html>
hớt hải	<html>@hớt hải<br>-@hớt hải<br>- Panic, be panic-stricken<br>- Hớt hơ hớt hải(láy, ý tăng)<br>=Thằng bé hớt hơ hớt hải chạy về nhà báo em suýt nữa bị xe ô tô chẹt+The little boy completely panic-stricken rushed home to say that his small brother had just missed being run over by car</html>
hớt lẻo	<html>@hớt lẻo<br>-@hớt lẻo<br>- Tell tales ingratiatingly</html>
hớt ngọn	<html>@hớt ngọn<br>-@hớt ngọn<br>- Steal an early march on someone and get a frofit</html>
hờ	<html>@hờ<br>-@hờ<br>* adj<br>- reserved; keep for future use<br>=hờ hững+careless; negligent</html>
hờ hững	<html>@hờ hững<br>-@hờ hững<br>- Indifferent, cool<br>=Sự tiếp đón hờ hững+A cool reception</html>
hời	<html>@hời<br>-@hời<br>* adj<br>- cheap; inexpensive</html>
hờn	<html>@hờn<br>-@hờn<br>- Sulk<br>=hờn không chịu ăn+To sulk and refuse to eat<br>-Resent<br>=Hờn duyên tủi phận+to resent one's unhappy love and feel humiliaated by one's sad lot</html>
hờn dỗi	<html>@hờn dỗi<br>-@hờn dỗi<br>- to sulk</html>
hờn giận	<html>@hờn giận<br>-@hờn giận<br>- to be in sulks</html>
hờn hợt	<html>@hờn hợt<br>-@hờn hợt<br>- Be glib<br>=Miệng hờn hợt+To have a glib tongue<br>=Nói cười hờn hợt+To speak and laugh glibly</html>
hờn mát	<html>@hờn mát<br>-@hờn mát<br>- Sulk mildly</html>
hở	<html>@hở<br>-@hở<br>- uncovered; gaping; open<br>=hở hang+Uncovered</html>
hở cơ	<html>@hở cơ<br>-@hở cơ<br>- Let the cat out of the bag; expose unintentionally one's weak spot</html>
hở hang	<html>@hở hang<br>-@hở hang<br>- Scanty, low-necked<br>=Ăn mặc hở hang+To wear a low-necked dress</html>
hở môi	<html>@hở môi<br>-@hở môi<br>- Open one's lips<br>=Biết chuyện nhưng không dám hở môi+To be in the know but not dare open one's lips</html>
hở ngực	<html>@hở ngực<br>-@hở ngực<br>- Low-necked (of dress)</html>
hở sườn	<html>@hở sườn<br>-@hở sườn<br>- (quân) Expose the flank</html>
hở vai	<html>@hở vai<br>-@hở vai<br>- De'collete' (of dress)</html>
hởi	<html>@hởi<br>-@hởi<br>- Satisfy<br>=Như thế thật là hởi lòng+That is very satisfactory; that is to one's liking</html>
hỡi	<html>@hỡi<br>-@hỡi<br>- Dear, my dear (used to address an equal or inferior)<br>=Hỡi đồng bào!+Dear fellow-countrymen!<br>=Hỡi cô tát nước bên đàng! (ca dao)+My dear young lady who is scooping up water on the road-side!<br>-Oh.<br>="Lòng này ai tỏ cho ta hỡi lòng! " (Nguyễn Du)+Who will understand you, oh, my poor heart!</html>
hỡi ôi	<html>@hỡi ôi<br>-@hỡi ôi<br>- Alas!<br>=Hỡi ôi Thế là phí một đời!+Alas! That is another life wasted</html>
hợi	<html>@hợi<br>-@hợi<br>- The twelfth Earthly Branch (symbolized by the pig)<br>=Giờ hợi+Time from 21 to 23 p.m<br>=Tuổi hợi+Born in the year of the pig</html>
hợm	<html>@hợm<br>-@hợm<br>- Give oneself airs<br>=Hợm của+To give oneself airs because of one's wealth<br>=Hợm tài+To give oneself airs because of one's talent</html>
hợp	<html>@hợp<br>-@hợp<br>* adj<br>- suitable; conformable; consistant<br>* verb<br>- to suit; to fit; to accord<br>=khí hậu ở đây không hợp với tôi+This climate does not suit me to concide; to agree</html>
hợp bang	<html>@hợp bang<br>-@hợp bang<br>- Confederation</html>
hợp bào	<html>@hợp bào<br>-@hợp bào<br>- (sinh học) Plasmodium</html>
hợp chất	<html>@hợp chất<br>-@hợp chất<br>* noun<br>- compound</html>
hợp cách	<html>@hợp cách<br>-@hợp cách<br>- Regular<br>=Làm như thế là hợp cách+That is the regular way of doing things; that is the right kind of behaviour</html>
hợp cẩn	<html>@hợp cẩn<br>-@hợp cẩn<br>- (từ cũ; nghĩa cũ) Ritual sharing of the bridal cup of wine (on the wedding night)</html>
hợp doanh	<html>@hợp doanh<br>-@hợp doanh<br>- Share a venture, have a joint business</html>
hợp hiến	<html>@hợp hiến<br>-@hợp hiến<br>- Constitutional</html>
hợp kim	<html>@hợp kim<br>-@hợp kim<br>* noun<br>- alloy</html>
hợp lí	<html>@hợp lí<br>-@hợp lí<br>* adj<br>- reasonable; logical</html>
hợp lưu	<html>@hợp lưu<br>-@hợp lưu<br>* noun<br>- confluence</html>
hợp lệ	<html>@hợp lệ<br>-@hợp lệ<br>- Regular, conform to regulations<br>=Giấy tờ hợp lệ+To have regular papers, one's papers are in order</html>
hợp lực	<html>@hợp lực<br>-@hợp lực<br>* verb<br>- to join forces, to join efforts</html>
hợp nhất	<html>@hợp nhất<br>-@hợp nhất<br>- Unify, merge</html>
hợp pháp	<html>@hợp pháp<br>-@hợp pháp<br>* adj<br>- legal; lawful</html>
hợp pháp hóa	<html>@hợp pháp hóa<br>-@hợp pháp hóa<br>- Legalize</html>
hợp phần	<html>@hợp phần<br>-@hợp phần<br>- Constituent; component</html>
hợp quần	<html>@hợp quần<br>-@hợp quần<br>- (từ cũ; nghĩa cũ) Band together</html>
hợp thiện	<html>@hợp thiện<br>-@hợp thiện<br>- (Hội hợp thiện) (từ cũ; nghĩa cũ) Charity [society]</html>
hợp thời	<html>@hợp thời<br>-@hợp thời<br>- Fashionable<br>=Quần áo hợp thời+To dress fashionably<br>-Timely, opportune<br>=Một hành động hợp thời+A timely (opportune) action</html>
hợp thức	<html>@hợp thức<br>-@hợp thức<br>- như hợp cách</html>
hợp thức hóa	<html>@hợp thức hóa<br>-@hợp thức hóa<br>* verb<br>- to regularize</html>
hợp tuyển	<html>@hợp tuyển<br>-@hợp tuyển<br>- Anthology<br>=Hợp tuyển văn xuôi+A prose anthology</html>
hợp tác	<html>@hợp tác<br>-@hợp tác<br>- Co-operate, collaborate</html>
hợp tác hoá	<html>@hợp tác hoá<br>-@hợp tác hoá<br>- Organize into co-opertatives<br>=Hợp tác hoá những nghề thủ công+To organize handicrafts into co-operatives<br>=Phong trào hợp tác hoá+The co-operative movement</html>
hợp tác xã	<html>@hợp tác xã<br>-@hợp tác xã<br>* noun<br>- co-operative</html>
